PRODUCT UPLOAD  ·  Master Formulation Sheet,,,,,,,,,,,,,,,,,,,
One row per product. Fill in all available fields — leave blank anything unknown. Do not guess formulation details.,,,,,,,,,,,,,,,,,,,
productSource,clinic,productName,displayName,productId,category,subCategory,drugForm,drugStrength,directions,refills,deaSchedule,quantityUnitOfMeasure,rxQty,daysSupply,refrigerationType,price,vendorCost,encounterRequired,requireLabs
Greenwich,Regenerative Revival,Wiz - Sublingual Tirzepatide 15mg/4mL - 3 Month Supply,Sublingual Tirzepatide 15mg - 3 Month Supply,123258,Weight loss,GLP-1-Oral,sublingual,15mg/4mL,"Place 1 mL under the tongue Monday & Thursday morning and hold in place for 45 seconds, then swallow",0,Unspecified,Troches,12mL,84,Non-Refrigerated,300.00,330.00,Yes,No
Greenwich,Regenerative Revival,Wiz - Sublingual Tirzepatide 20mg/4mL - 3 Month Supply,Sublingual Tirzepatide 20mg - 3 Month Supply,123259,Weight loss,GLP-1-Oral,sublingual,20mg/4mL,"Place 1 mL under the tongue Monday & Thursday morning and hold in place for 45 seconds, then swallow",0,Unspecified,Troches,12mL,84,Non-Refrigerated,360.00,390.00,Yes,No
Greenwich,Regenerative Revival,Wiz - Sublingual Tirzepatide 25mg/4mL - 3 Month Supply,Sublingual Tirzepatide 25mg - 3 Month Supply,123260,Weight loss,GLP-1-Oral,sublingual,25mg/4mL,"Place 1 mL under the tongue Monday & Thursday morning and hold in place for 45 seconds, then swallow",0,Unspecified,Troches,12mL,84,Non-Refrigerated,420.00,450.00,Yes,No
Greenwich,Regenerative Revival,Wiz - Sublingual Tirzepatide 30mg/4mL - 3 Month Supply,Sublingual Tirzepatide 30mg - 3 Month Supply,123261,Weight loss,GLP-1-Oral,sublingual,30mg/4mL,"Place 1 mL under the tongue Monday & Thursday morning and hold in place for 45 seconds, then swallow",0,Unspecified,Troches,12mL,84,Non-Refrigerated,480.00,510.00,Yes,No
Greenwich,Regenerative Revival,Wiz - Sublingual Tirzepatide 30mg/4mL - 2 Month Supply,Sublingual Tirzepatide 30mg - 2 Month Supply,123261,Weight loss,GLP-1-Oral,sublingual,30mg/4mL,"Place 1 mL under the tongue Monday & Thursday morning and hold in place for 45 seconds, then swallow",1,Unspecified,Troches,8mL,56,Non-Refrigerated,480.00,510.00,Yes,No
Greenwich,Regenerative Revival,Wiz - Tirzepatide + B12 Injection 5mg/0.5mg/mL - 3 Month Supply,Tirzepatide + B12 5mg - 3 Month Supply,123257,Weight loss,GLP-1-Injectable,injection,5mg/0.5mg/mL,Inject (2.5mg) 50 units under the skin once weekly,0,Unspecified,Injectable,6mL,84,Refrigerated,210.00,240.00,Yes,No
Greenwich,Regenerative Revival,Wiz - Tirzepatide + B12 Injection 10mg/0.5mg/mL - 3 Month Supply,Tirzepatide + B12 10mg - 3 Month Supply,123258,Weight loss,GLP-1-Injectable,injection,10mg/0.5mg/mL,Inject (5mg) 50 units under the skin once weekly,0,Unspecified,Injectable,6mL,84,Refrigerated,270.00,300.00,Yes,No
Greenwich,Regenerative Revival,Wiz - Tirzepatide + B12 Injection 15mg/0.5mg/mL - 3 Month Supply,Tirzepatide + B12 15mg - 3 Month Supply,123259,Weight loss,GLP-1-Injectable,injection,15mg/0.5mg/mL,Inject (7.5mg)50 units under the skin once weekly,0,Unspecified,Injectable,6mL,84,Refrigerated,300.00,330.00,Yes,No
Greenwich,Regenerative Revival,Wiz - Tirzepatide + B12 Injection 20mg/0.5mg/mL - 3 Month Supply,Tirzepatide + B12 20mg - 3 Month Supply,123260,Weight loss,GLP-1-Injectable,injection,20mg/0.5mg/mL,Inject (10mg) 50 units under the skin once weekly,0,Unspecified,Injectable,6mL,84,Refrigerated,360.00,390.00,Yes,No
Greenwich,Regenerative Revival,Wiz - Tirzepatide + B12 Injection 25mg/0.5mg/mL - 3 Month Supply,Tirzepatide + B12 25mg - 3 Month Supply,123261,Weight loss,GLP-1-Injectable,injection,25mg/0.5mg/mL,Inject (12.5mg) 50 units under the skin once weekly,0,Unspecified,Injectable,6mL,84,Refrigerated,420.00,450.00,Yes,No
Greenwich,Regenerative Revival,Wiz - Tirzepatide + B12 Injection 30mg/0.5mg/mL - 3 Month Supply,Tirzepatide + B12 30mg - 3 Month Supply,123262,Weight loss,GLP-1-Injectable,injection,30mg/0.5mg/mL,Inject (15mg) 50 units under the skin once weekly,0,Unspecified,Injectable,6mL,84,Refrigerated,480.00,510.00,Yes,No
Greenwich,Regenerative Revival,Wiz - Tirzepatide + B12 Injection 30mg/0.5mg/mL - 2 Month Supply,Tirzepatide + B12 30mg - 2 Month Supply,123262,Weight loss,GLP-1-Injectable,injection,30mg/0.5mg/mL,Inject (15mg) 50 units under the skin once weekly,1,Unspecified,Injectable,4mL,56,Refrigerated,320.00,340.00,Yes,No
Greenwich,Regenerative Revival,Wiz - Semaglutide + B12 Injection 1mg/0.5mg/mL - 3 Month Supply,Semaglutide + B12 1mg - 3 Month Supply,123258,Weight loss,GLP-1-Injectable,injection,1mg/0.5mg/mL,Inject (.25mg) 25 units under the skin once weekly,0,Unspecified,Injectable,3mL,84,Refrigerated,90.00,120.00,Yes,No
Greenwich,Regenerative Revival,Wiz - Semaglutide + B12 Injection 2mg/0.5mg/mL - 3 Month Supply,Semaglutide + B12 2mg - 3 Month Supply,123259,Weight loss,GLP-1-Injectable,injection,2mg/0.5mg/mL,Inject (.50mg) 25 units under the skin once weekly,0,Unspecified,Injectable,3mL,84,Refrigerated,105.00,135.00,Yes,No
Greenwich,Regenerative Revival,Wiz - Semaglutide + B12 Injection 4mg/0.5mg/mL - 3 Month Supply,Semaglutide + B12 4mg - 3 Month Supply,123260,Weight loss,GLP-1-Injectable,injection,4mg/0.5mg/mL,Inject (1mg) 25 units under the skin once weekly,0,Unspecified,Injectable,3mL,84,Refrigerated,135.00,165.00,Yes,No
Greenwich,Regenerative Revival,Wiz - Semaglutide + B12 Injection 6mg/0.5mg/mL - 3 Month Supply,Semaglutide + B12 6mg - 3 Month Supply,123261,Weight loss,GLP-1-Injectable,injection,6mg/0.5mg/mL,Inject (1.5mg)25 units under the skin once weekly,0,Unspecified,Injectable,3mL,84,Refrigerated,180.00,210.00,Yes,No
Greenwich,Regenerative Revival,Wiz - Semaglutide + B12 Injection 10mg/0.5mg/mL - 3 Month Supply,Semaglutide + B12 10mg - 3 Month Supply,123262,Weight loss,GLP-1-Injectable,injection,10mg/0.5mg/mL,Inject (2.5mg) 25 units under the skin once weekly,0,Unspecified,Injectable,3mL,84,Refrigerated,210.00,240.00,Yes,No
Greenwich,Regenerative Revival,Wiz - Semaglutide + B12 Injection 10mg/0.5mg/mL - 2 Month Supply,Semaglutide + B12 10mg - 2 Month Supply,123262,Weight loss,GLP-1-Injectable,injection,10mg/0.5mg/mL,Inject (2.5mg) 25 units under the skin once weekly,1,Unspecified,Injectable,2mL,56,Refrigerated,140.00,160.00,Yes,No
Greenwich,Regenerative Revival,Wiz - Thymosin A-1 1mg/mL - 3 Month Supply,Thymosin A-1 - 3 Month Supply,123237,Peptides,Injectable,injection,1mg/mL,Inject 50 units subcutaneously twice a week.,1,Unspecified,Injectable,15mL,105,Refrigerated,$1.00,$1,Yes,No
